2010;Malavita;Tonino Benacquista;Badfellas;Anglais;;;
2007;Déloger l'animal;Véronique Ovaldé;Kick The Animal Out;Anglais;MacAdam/Cage;;
2007;Ethnicity and Equality;;Ethnicity and Equality;Anglais;Bison Books;;
2008;Alexandre et Alestria;;Alexander and Alestria: A Novel;Anglais;HarperCollins Publishers Inc.;;
1998;Au temps du fleuve Amour;Andrei Makine;Once Upon the River Love;Anglais;Arcade Publishing;;
2000;Au temps du fleuve Amour;Andrei Makine;初渡爱河;Chinois;中央编译出版社;;
2001;Au temps du fleuve Amour;Andrei Makine;在愛的長河時光中;Chinois;皇冠文化出版有限公司;;
1991;Between Hell and Reason;;Between Hell and Reason;Anglais;;;
1991;Between Hell and Reason;;Between Hell and Reason;Anglais;;;
1998;Du plus loin que l'Oubli;Patrick Modiano;Out of the Dark;Anglais;Bison Books;;
1998;Du plus loin que l'Oubli;Patrick Modiano;Out of the Dark;Anglais;University of Nebraska Press;;
2008;Grand méchant;Etienne Delessert;Big and Bad;Anglais;Houghton Mifflin Company;;
2001;Fascisme et Communisme;;Fascism and Communism;Anglais;Bison Books;;
2003;Dans ces bras-là;Camille Laurens;In Those Arms;Anglais;Bloomsbury;;
2004;Dans ces bras-là;Camille Laurens;In Those Arms;Anglais;Bloomsbury;;
2004;Dans ces bras-là;Camille Laurens;在他們的臂彎裡;Chinois;皇冠文化出版有限公司;;
2002;Dans ces bras-là;Camille Laurens;在男人的怀抱中;Chinois;深圳海天出版社;;
2003;101 expériences de philosophie quotidienne;Roger Pol Droit;Astonish Yourself;Anglais;Penguin Non-Classics;;
2006;Journal des Goncourt;Edmond et Jules de Goncourt;Pages from the Goncourt Journals,;Anglais;;;
2008;Histoire du débarquement en Normandie;Olivier Wieviorka;Normandy;Anglais;Belknap Press;;
2008;Pilules Bleues;Frederik Peeters;Blue Pills;Anglais;Houghton Mifflin Company;;
2007;Pilules Bleues;Frederik Peeters;Píldoras azules;Espagnol;Astiberri;Espagne;Bandes dessinées
1995;Entretiens avec Jean-Paul Riopelle;Gilbert Erouart;Riopelle in Conversation;Anglais;House of Anansi;;
2008;Service Clientèle;;Customer Service (The Contemporary Art of the Novella);Anglais;;;
2000;Avril ou l'anti-passion;Antonio D'Alfonso;Fabrizio's Passion;Anglais;Guernica Editions;;
2007;Le Chef-d'oeuvre inconnu;;La obra maestra desconocida;Espagnol;Maldoror;Espagne;Fiction
2005;Alex et son chien Touli;;Alex and Toolie;Anglais;Compass Point Books;;
2008;L'inspecteur Cadavre;Georges Simenon;Maigret és a kiugrott felügyelő;Hongrois;Park;;
2007;Les Marins Perdus;Jean-Claude Izzo;The Lost Sailors;Anglais;Europa Editions;;
;Le Problème de la Genèse dans la philosophie de Husserl;Jacques Derrida;胡塞尔哲学中的起源问题;Chinois;商务印书馆;;
1996;Aurélien, Clara, Mademoiselle et le Lieutenant anglais;Anne Hébert;Aurelien, Clara, Mademoiselle and the English Lieutenant;Anglais;House of Anansi;;
2004;La Télévision;Jean-Philippe Toussaint;电视;Chinois;湖南美术出版社;;
2004;Le Maître de Golem;;格兰姆计划;Chinois;二十一世纪出版社;;
2007;Les Sirènes de Bagdad;Yasmina Khadra;As sirenas de Bagdá ;Portugais;Sá Editora ;Brésil;Littérature
2007;Les Sirènes de Bagdad;Yasmina Khadra;Las sirenas de Bagdad;Espagnol;Alianza Editorial;Espagne;Fiction
2007;Les Sirènes de Bagdad;Yasmina Khadra;Les sirenes de Bagdad;Catalan;Edicions 62;Espagne;Fiction
2006;Billy the kid;;Billy The Kid: A Lucky Luke Adventure;Anglais;Cinebook Ltd;;
2006;Fables de La Fontaine - Sélections;;Selected Fables;Anglais;;;
2009;Pars vite et reviens tard;Fred Vargas;4의 비밀;Coréen;Minumsa 민음사;Corée du sud;Roman
2006;Pars vite et reviens tard;Fred Vargas;CLT;Chinois;台灣商務印書館;;
2008;Pars vite et reviens tard;Fred Vargas;Huye rápido, vete lejos;Espagnol;Punto de lectura;Espagne;Fiction
2003;Des Hégémonies brisées;Reiner Schürmann;Broken Hegemonies;Anglais;Indiana University Press;;
2003;Des Hégémonies brisées;Reiner Schürmann;Broken Hegemonies;Anglais;Indiana University Press;;
2004;La Cité des buveurs d'encre;Eric Sanvoisin;吸墨鬼城;Chinois;遠流出版公司;;
1998;Chronique des indiens Guayaki;Pierre Clastres;Chronicle of the Guayaki Indians;Anglais;Zone Books;;
2000;Chronique des indiens Guayaki;Pierre Clastres;Chronicle of the Guayaki Indians;Anglais;Zone Books;;
1995;Chronique des indiens Guayaki;Pierre Clastres;Crônica dos índios Guayaki - O que sabem os Aché, caçadores nômades do Paraguai ;Portugais;Editora 34;Brésil;Anthropologie
2005;Frankenstein encore et toujours;Alain Baladi;Frankenstein Now and Forever;Anglais;;;
1998;Antoine Laurent de Lavoisier, 1743-1794;Jean-Pierre Poirier;Lavoisier;Anglais;University of Pensylvania Press;;
1997;Antoine Laurent de Lavoisier, 1743-1794;Jean-Pierre Poirier;Lavoisier;Anglais;University of Pensylvania Press;;
2003;Entre Orient et Occident;Luce Irigaray;Between East and West;Anglais;;;
2001;Antiquities;;Antiquities;Anglais;The New Press;;
2000;Je m'en vais;Jean Echenoz;Elmegyek : regény;Hongrois;Ovo Ab;;
2005;Je m'en vais;Jean Echenoz;إنّي ذاهب;Arabe;دار الاداب;;
2005;Les Grandes Blondes;Jean Echenoz;شقراوات;Arabe;دار الاداب;;
2005;Atlantique face nord;;Across the Savage Sea;Anglais;Arcade Publishing;;
2004;Artahé;;Artahe;Anglais;Black Coat Press;;
2006;Arthur et la cité interdite;Luc Besson;Arthur and the Forbidden City;Anglais;HarperTrophy;;
2005;Arthur et la cité interdite;Luc Besson;亞瑟與毫髮人;Chinois;麥田出版;;
1998;Un chagrin de passage;Françoise Sagan;Múló bánat : regény;Hongrois;Saxum Fiesta,;;
1995;Candy Story;Marie Redonnet;Candy Story;Anglais;University of Nebraska Press;;
1995;Candy Story;Marie Redonnet;Candy Story;Anglais;Bison Books;;
2005;Archéologie du cinéma et mémoire du siècle. Dialogue;;Cinema;Anglais;;;
1991;Courts Voyages au pays du peuple;Jacques Rancière;Breves viajes al país del pueblo;Espagnol;Nueva Visión;Argentine;Philosophie
2003;Courts Voyages au pays du peuple;Jacques Rancière;Short Voyages to the Land of the People;Anglais;;;
2006;Fitna - Guerre au coeur de l'Islam;Gilles Kepel;The War for Muslim Minds;Anglais;Belknap Press;;
2008;Le Grand Incendie de Londres;;"A nagy londoni tűzvész" : tudósítás csatlakozásokkal és elágazásokkal, 1985-1987;Hongrois;Irod.- és Kultúratud. Int. L'Harmattan, ELTE BTK M.;;
2003;Fragments... et autres textes;Jean Genet;Fragments of the Artwork;Anglais;;;
2003;Fragments... et autres textes;Jean Genet;Fragments of the Artwork;Anglais;;;
2003;A nous deux, le vin !;Marc Chapleau;Let's Talk Wine! An Expert Takes on your Questions;Anglais;XYZ Editeur;;
1991;Black Diva;;Black Diva: Selected Poems, 1982-1986;Anglais;Guernica Editions;;
2002;Combats pour le sens;;The Struggle for Meaning;Anglais;Ohio University Press;;
1990;Bonjour, là, bonjour;Michel Tremblay;Bonjour, là, Bonjour;Anglais;Talonbooks;;
1995;Casse-pipe à la Nation;Léo Malet;Death of a Marseilles Man;Anglais;Macmillan;;
1991;Casse-pipe à la Nation;Léo Malet;黄金大劫案;Chinois;中国戏剧出版社;;
2004;Le Petit Buveur d'encre rouge;Eric Sanvoisin;小紅吸墨鬼;Chinois;遠流出版公司;;
2003;Les Mémoires d'un fou;;Sobre la lectura;Espagnol;Libros del Zorzal;;
1999;Les Identités meurtrières;Amin Maalouf;الهويات القاتلة;Arabe;;;
2007;L'Ile noire (Les Aventures de Tintin);Hergé;La isla negra;Espagnol;;Espagne;Bandes dessinées
2001;Balzac et la petite tailleuse chinoise;Sijie Dai;Balzac and the Little Chinese Seamstress;Anglais;Knopf USA;;
2002;Balzac et la petite tailleuse chinoise;Sijie Dai;Balzac and the Little Chinese Seamstress;Anglais;Anchor Books;;
2003;Balzac et la petite tailleuse chinoise;Sijie Dai;Balzac and the Little Chinese Seamstress;Anglais;;;
2006;Archimondain Jolipunk;Camille de Toledo;SuperHip JoliPunk;Anglais;;;
2008;Le Piège de Dante;Arnaud Delalande;El noveno círculo;Espagnol;Grijalbo;Espagne;Fiction
;Le Piège de Dante;Arnaud Delalande;但丁的陷阱;Chinois;PRESSES UNIVERSITAIRES DE FRANCE - PUF;;
;Littoral;Wajdi Mouawad;Litoral;Espagnol;KRK;;
2004;Astérix chez les Bretons;;Asterix in Britain;Anglais;;;
2004;Astérix chez les Bretons;;Asterix in Britain;Anglais;;;
1997;Sur la télévision;Pierre Bourdieu;Sobre a Televisão;Portugais;Zahar;Brésil;Sociologie
1999;Sur la télévision;Pierre Bourdieu;عن التليفزيون وآليات التلاعب بالعقول;Arabe;دار المحروسة;;
2002;Sur la télévision;Pierre Bourdieu;布赫迪厄論電視;Chinois;麥田出版;;
2006;Candide et autres contes;Voltaire;Candide and Other Stories;Anglais;;;
2007;Chaleur du sang;Irene Nemirovsky;El ardor de la sangre;Espagnol;Salamandra;Espagne;Fiction
2007;Chaleur du sang;Irene Nemirovsky;Fire In the Blood;Anglais;Knopf USA;;
2007;Chaleur du sang;Irene Nemirovsky;Sang calenta;Catalan;RBA Libros;Espagne;Fiction
1998;L'Illusion identitaire;Jean-François Bayart;أوهام الهوية;Arabe;;;
2006;Cool Memories V;Jean Baudrillard;Cool Memories V;Anglais;;;
2006;Cool Memories V;Jean Baudrillard;Cool Memories V;Anglais;;;
