2007;Véronique Ovaldé;Déloger l'animal;Kick The Animal Out;Anglais;Adriana Hunter;MacAdam/Cage
1998;Andrei Makine;Au temps du fleuve Amour;Once Upon the River Love;Anglais;Geoffrey Strachan;Arcade Publishing
2001;Andrei Makine;Au temps du fleuve Amour;在愛的長河時光中;Chinois;安陽 AN Yang;皇冠文化出版有限公司
1991;;Between Hell and Reason;Between Hell and Reason;Anglais;Alexandre de Gramont;
1991;;Between Hell and Reason;Between Hell and Reason;Anglais;Alexandre de Gramont;
1998;Patrick Modiano;Du plus loin que l'Oubli;Out of the Dark;Anglais;Jordan Stump;Bison Books
1998;Patrick Modiano;Du plus loin que l'Oubli;Out of the Dark;Anglais;Jordan Stump;University of Nebraska Press
2001;;Fascisme et Communisme;Fascism and Communism;Anglais;Katherine Golsan;Bison Books
2003;Camille Laurens;Dans ces bras-là;In Those Arms;Anglais;Ian Monk;Bloomsbury
2004;Camille Laurens;Dans ces bras-là;In Those Arms;Anglais;Ian Monk;Bloomsbury
2004;Camille Laurens;Dans ces bras-là;在他們的臂彎裡;Chinois;王美文 WANG Mei Wen;皇冠文化出版有限公司
2003;Roger Pol Droit;101 expériences de philosophie quotidienne;Astonish Yourself;Anglais;Stephen Romer;Penguin Non-Classics
2006;Edmond et Jules de Goncourt;Journal des Goncourt;Pages from the Goncourt Journals,;Anglais;Robert Baldick;
2008;Olivier Wieviorka;Histoire du débarquement en Normandie;Normandy;Anglais;Malcolm De Bevoise;Belknap Press
2008;Frederik Peeters;Pilules Bleues;Blue Pills;Anglais;Anjali Singh;Houghton Mifflin Company
2007;Frederik Peeters;Pilules Bleues;Píldoras azules;Espagnol;Javier Zalbidegoitia,Gaizka Zalbidegoitia Bohoyo;Astiberri
1995;Gilbert Erouart;Entretiens avec Jean-Paul Riopelle;Riopelle in Conversation;Anglais;Donald Winkler;House of Anansi
2008;;Service Clientèle;Customer Service (The Contemporary Art of the Novella);Anglais;Bruce Benderon;
2000;Antonio D'Alfonso;Avril ou l'anti-passion;Fabrizio's Passion;Anglais;Antonio D'Alfonso;Guernica Editions
2007;;Le Chef-d'oeuvre inconnu;La obra maestra desconocida;Espagnol;Jorge Segovia;Maldoror
2008;Georges Simenon;L'inspecteur Cadavre;Maigret és a kiugrott felügyelő;Hongrois;Róbert BOGNÁR;Park
2007;Jean-Claude Izzo;Les Marins Perdus;The Lost Sailors;Anglais;Howard Curtis;Europa Editions
1996;Anne Hébert;Aurélien, Clara, Mademoiselle et le Lieutenant anglais;Aurelien, Clara, Mademoiselle and the English Lieutenant;Anglais;Sheila Fischman;House of Anansi
2004;Jean-Philippe Toussaint;La Télévision;电视;Chinois;Jianxin LI;湖南美术出版社
2004;;Le Maître de Golem;格兰姆计划;Chinois;Jing BIAN;二十一世纪出版社
2007;Yasmina Khadra;Les Sirènes de Bagdad;As sirenas de Bagdá ;Portugais;Regina Salgado Campos ;Sá Editora 
2007;Yasmina Khadra;Les Sirènes de Bagdad;Las sirenas de Bagdad;Espagnol;Wenceslao Carlos Lozano;Alianza Editorial
2007;Yasmina Khadra;Les Sirènes de Bagdad;Les sirenes de Bagdad;Catalan;Pau Joan Hernàndez;Edicions 62
2006;;Billy the kid;Billy The Kid: A Lucky Luke Adventure;Anglais;Luke Spear;Cinebook Ltd
2006;;Fables de La Fontaine - Sélections;Selected Fables;Anglais;James Michie;
2009;Fred Vargas;Pars vite et reviens tard;4의 비밀;Coréen;KIM Namju 김남주;Minumsa 민음사
2006;Fred Vargas;Pars vite et reviens tard;CLT;Chinois;繆詠華 MIAO Yung Hua;台灣商務印書館
2008;Fred Vargas;Pars vite et reviens tard;Huye rápido, vete lejos;Espagnol;Blanca Riestra;Punto de lectura
2003;Reiner Schürmann;Des Hégémonies brisées;Broken Hegemonies;Anglais;Reginald Lilly;Indiana University Press
2003;Reiner Schürmann;Des Hégémonies brisées;Broken Hegemonies;Anglais;Reginald Lilly;Indiana University Press
2004;Eric Sanvoisin;La Cité des buveurs d'encre;吸墨鬼城;Chinois;曹慧 TSAO Hui;遠流出版公司
1998;Pierre Clastres;Chronique des indiens Guayaki;Chronicle of the Guayaki Indians;Anglais;Paul Auster;Zone Books
2000;Pierre Clastres;Chronique des indiens Guayaki;Chronicle of the Guayaki Indians;Anglais;Paul Auster;Zone Books
1995;Pierre Clastres;Chronique des indiens Guayaki;Crônica dos índios Guayaki - O que sabem os Aché, caçadores nômades do Paraguai ;Portugais;Tânia Stolze Lima,Janice Caiafa;Editora 34
1998;Jean-Pierre Poirier;Antoine Laurent de Lavoisier, 1743-1794;Lavoisier;Anglais;Rebecca Balinski;University of Pensylvania Press
1997;Jean-Pierre Poirier;Antoine Laurent de Lavoisier, 1743-1794;Lavoisier;Anglais;Rebecca Balinski;University of Pensylvania Press
2003;Luce Irigaray;Entre Orient et Occident;Between East and West;Anglais;Stephen Pluhácek;
2000;Jean Echenoz;Je m'en vais;Elmegyek : regény;Hongrois;Margit SZOBOSZLAI;Ovo Ab
2005;Jean Echenoz;Je m'en vais;إنّي ذاهب;Arabe;Bassam Hajjar;دار الاداب
2005;Jean Echenoz;Les Grandes Blondes;شقراوات;Arabe;Bassam Hajjar;دار الاداب
2004;;Artahé;Artahe;Anglais;David Kirshbaum;Black Coat Press
2006;Luc Besson;Arthur et la cité interdite;Arthur and the Forbidden City;Anglais;Ellen Sowchek;HarperTrophy
2005;Luc Besson;Arthur et la cité interdite;亞瑟與毫髮人;Chinois;彭懋龍 PENG Mao Lung;麥田出版
1998;Françoise Sagan;Un chagrin de passage;Múló bánat : regény;Hongrois;Katalin BALLA;Saxum Fiesta,
1995;Marie Redonnet;Candy Story;Candy Story;Anglais;Alexandra Quinn;University of Nebraska Press
1995;Marie Redonnet;Candy Story;Candy Story;Anglais;Alexandra Quinn;Bison Books
2005;;Archéologie du cinéma et mémoire du siècle. Dialogue;Cinema;Anglais;John Howe;
1991;Jacques Rancière;Courts Voyages au pays du peuple;Breves viajes al país del pueblo;Espagnol;Irene Agoff;Nueva Visión
2003;Jacques Rancière;Courts Voyages au pays du peuple;Short Voyages to the Land of the People;Anglais;James Swenson;
2006;Gilles Kepel;Fitna - Guerre au coeur de l'Islam;The War for Muslim Minds;Anglais;Pascale Ghazaleh;Belknap Press
2008;;Le Grand Incendie de Londres;"A nagy londoni tűzvész" : tudósítás csatlakozásokkal és elágazásokkal, 1985-1987;Hongrois;Csaba SZIGETI;Irod.- és Kultúratud. Int. L'Harmattan, ELTE BTK M.
2003;Jean Genet;Fragments... et autres textes;Fragments of the Artwork;Anglais;Charlotte Mandell;
2003;Jean Genet;Fragments... et autres textes;Fragments of the Artwork;Anglais;Charlotte Mandell;
1991;;Black Diva;Black Diva: Selected Poems, 1982-1986;Anglais;Daniel Sloate;Guernica Editions
2002;;Combats pour le sens;The Struggle for Meaning;Anglais;John Conteh-Morgan;Ohio University Press
1995;Léo Malet;Casse-pipe à la Nation;Death of a Marseilles Man;Anglais;Barbara Bray;Macmillan
2004;Eric Sanvoisin;Le Petit Buveur d'encre rouge;小紅吸墨鬼;Chinois;曹慧 TSAO Hui;遠流出版公司
1999;Amin Maalouf;Les Identités meurtrières;الهويات القاتلة;Arabe;Jabbour DOUWEYHI;
2001;Sijie Dai;Balzac et la petite tailleuse chinoise;Balzac and the Little Chinese Seamstress;Anglais;Ina Rilke;Knopf USA
2002;Sijie Dai;Balzac et la petite tailleuse chinoise;Balzac and the Little Chinese Seamstress;Anglais;Ina Rilke;Anchor Books
2003;Sijie Dai;Balzac et la petite tailleuse chinoise;Balzac and the Little Chinese Seamstress;Anglais;Ina Rilke;
2006;Camille de Toledo;Archimondain Jolipunk;SuperHip JoliPunk;Anglais;Blake Ferris;
2008;Arnaud Delalande;Le Piège de Dante;El noveno círculo;Espagnol;Lluís Miralles de Imperial;Grijalbo
;Arnaud Delalande;Le Piège de Dante;但丁的陷阱;Chinois;Zhenyu GAO;PRESSES UNIVERSITAIRES DE FRANCE - PUF
;Wajdi Mouawad;Littoral;Litoral;Espagnol;Eladio de Pablo;KRK
1997;Pierre Bourdieu;Sur la télévision;Sobre a Televisão;Portugais;Maria Lucia Machado;Zahar
1999;Pierre Bourdieu;Sur la télévision;عن التليفزيون وآليات التلاعب بالعقول;Arabe;Darwich El Halwagui;دار المحروسة
2002;Pierre Bourdieu;Sur la télévision;布赫迪厄論電視;Chinois;林志明 LIN Chi Ming;麥田出版
2006;Voltaire;Candide et autres contes;Candide and Other Stories;Anglais;Rogers Pearson;
2007;Irene Nemirovsky;Chaleur du sang;El ardor de la sangre;Espagnol;José Antonio Soriano Marco;Salamandra
2007;Irene Nemirovsky;Chaleur du sang;Fire In the Blood;Anglais;Sandra Smith;Knopf USA
2007;Irene Nemirovsky;Chaleur du sang;Sang calenta;Catalan;Anna Casassas;RBA Libros
2006;Jean Baudrillard;Cool Memories V;Cool Memories V;Anglais;Chris Turner;
2006;Jean Baudrillard;Cool Memories V;Cool Memories V;Anglais;Chris Turner;
2008;- Collectif;Al-Qaida dans le texte;Al Qaeda in Its Own Words;Anglais;Pascale Ghazaleh;Belknap Press
2007;Amélie Nothomb;La Métaphysique des tubes;Metafísica de los tubos;Espagnol;Sergi Pàmies;Anagrama
2002;Amélie Nothomb;La Métaphysique des tubes;管子的玄思;Chinois;Yongjian XU;深圳海天出版社
1994;Ehsan Naraghi;Des palais du Chah aux prisons de la Révolution;From Palace to Prison;Anglais;Nilou Mobasser;Ivan R. Dee
2002;Jacques Prévert;Choix de poésies;Choix de poésies;Français;Sarah Lawson;
2003;Jacques Poulin;Chat sauvage;Wild Cat;Anglais;Sheila Fischman;Cormorant Books
2004;Georges Simenon;Maigret et la grande perche;Maigret és a Langaléta;Hongrois;Judit SZÁNTÓ;Park
2001;;Partita;Piano Music for Four Hands;Anglais;Alice Kaplan;University of Nebraska Press
1996;Lise Bissonnette;Choses crues;Affairs of Art;Anglais;Sheila Fischman;House of Anansi
2004;Julia Kristeva;Colette;Colette;Anglais;Jane Marie Todd;
2005;Julia Kristeva;Colette;Colette;Anglais;Jane Marie Todd;
2004;Maryse Condé;Célanire cou-coupé;Who Slashed Célanire's Throat?;Anglais;Richard Philcox;Atria Books
1992;;Audition;Audition;Anglais;Roy H. Kay;MIT Press
2008;;L'aube le soir ou la nuit;El alba la tarde o la noche;Espagnol;Jaime Zulaika;Anagrama
2008;;L'aube le soir ou la nuit;L'alba el capvespre o la nit;Catalan;Oriol Sánchez Vaqué;Empúries
2004;Jean Echenoz;Au piano;Piano;Anglais;Mark Polizzotti;The New Press
2004;Jean Echenoz;Au piano;Piano;Anglais;Mark Polizzotti;
2004;François Jullien;Eloge de la fadeur;In Praise of Blandness;Anglais;Paul M. Varsano;Zone Books
2007;;Les Dieux ont soif;Os deuses têm sede;Portugais;Cristina Murachco,Daniela Jinkings;Boitempo
1998;;Essay on the Origin of Languages and Writings Related to Music;Essay on the Origin of Languages and Writings Related to Music;Anglais;John T. Scott;Dartmouth College Press/Univ. Press of New England
1999;Bernard Cerquiglini;Eloge de la Variante;In Praise of the Variant;Anglais;Betsy Wing;Johns Hopkins University Press
1994;Georges Simenon;Un crime en Hollande;Maigret in Holland;Anglais;Geoffrey Sainsbury;Harvest Books
2011;Martin Page;Comment je suis devenu stupide;나는 어떻게 바보가 되었나;Coréen;YONG Kyungsik 용경식;Yolimwon 열림원
1998;Marguerite Duras;C'est tout;No More;Anglais;Richard Howard;Seven Stories Press
;;Entretiens avec le professeur Y;Conversaciones con el profesor Y;Espagnol;Mariano Dupont;Caja Negra
2007;Michel Benoît;Le Secret du treizième apôtre;El apóstol número 13;Espagnol;Lluís Miralles de Imperial;Grijalbo
2008;Michel Benoît;Le Secret du treizième apôtre;El apóstol número 13;Espagnol;Lluís Miralles de Imperial;Círculo de lectores
2004;;Devenez sorciers, devenez savants !;Debunked!;Anglais;Bart K. Holland;Johns Hopkins University Press
2007;Jean Echenoz;Ravel;Ravel;Portugais;Armando da Silva Carvalho;Sextante Editora
2006;Dominique Manotti;A nos chevaux !;Dead Horsemeat;Anglais;Amanda Hopkinson & Ros Schwartz .;
2006;;Journaux intimes;Diarios íntimos;Espagnol;José Pedro Díaz;Leviatán
1998;;Le Superbe Orénoque;A büszke Orinoco;Hongrois;Zoltán MAJTÉNYI;Unikornis
2006;Gaétan Soucy;La Petite Fille qui aimait trop les allumettes;A rapariguinha que gostava demasiado de fósforos;Portugais;Paula Reis;Teorema
2002;Gaétan Soucy;La Petite Fille qui aimait trop les allumettes;太愛火柴的女孩;Chinois;邱瑞鑾 CHIU Jui Luan;皇冠文化出版有限公司
2008;;Le Capitaine Pamphile;El capità Pàmfil;Catalan;M. Carme Figuerola;Pagès
;;La Vie quotidienne des dieux grecs;古希腊众神的生活;Chinois;Yuanhua Zheng;VRIN
1990;Philippe Sollers;Femmes;Women;Anglais;Barbara Bray;
1992;Philippe Sollers;Femmes;Women;Anglais;Barbara Bray;
2008;;50 dessins pour assassiner la magie;50 Drawings to Murder Magic;Anglais;Donald Nicholson-Smith;Seagull Books
2000;Anne Collet;Danse avec les baleines;Swimming with Giants;Anglais;Gayle Wurst;Milkweed
2002;Anne Collet;Danse avec les baleines;Swimming with Giants;Anglais;Gayle Wurst;Milkweed
2007;- Collectif;As You Were Saying;As You Were Saying;Anglais;- Collectif;Dalkey Archive Press
2006;Alice Cherki;Frantz Fanon;Frantz Fanon;Anglais;Nadia Benabid;Cornell University Press
1996;;Christian Dior;Christian Dior;Anglais;Joanna Savill;Arcade Publishing
1996;;Christian Dior;Christian Dior;Anglais;Joanna Savill;Arcade Publishing
2007;Farhad Khosrokhavar;Les Nouveaux Martyrs d'Allah;شهداء الله الجدد;Arabe;Johaida Lawand;معهد الدراسات الاستراتيجية العراق
2007;Milan Kundera;Le Rideau;The Curtain;Anglais;Linda Asher;HarperCollins Publishers Inc.
2006;Milan Kundera;Le Rideau;帷幕;Chinois;Qiang DONG;上海译文出版社
2004;;Crise et Sortie de Crise;Capital Resurgent;Anglais;Derek Jeffers;Harvard University Press - Cambridge
2008;;La Seine était rouge;The Seine Was Red;Anglais;Mildred Mortimer;Indiana University Press
2006;Julien Gracq;En lisant, en écrivant;Reading, Writing;Anglais;Jeanine Herman;Turtle Point Press
2006;Dominique Fabre;La Serveuse était nouvelle;La mesera era nueva;Espagnol;Laura Masello;Beatriz Viterbo
1982;;L'Aiguille creuse;宝剑峰;Chinois;Weizhong NI;
1999;;Chronique des sept Misères;Chronicle of the Seven Sorrows;Anglais;Linda Coverdale;University of Nebraska Press
1996;Dalai Lama;Au-delà des dogmes;Beyond Dogma;Anglais;Alison Anderson;North Atlantic Books
1997;Jacques Roger;Buffon;Buffon;Anglais;Sarah Lucille Bonnefoi;Cornell University Press
1998;Michel Tremblay;Encore une fois, si vous permettez;For the Pleasure of Seeing Her Again;Anglais;Linda Gaboriau;Talonbooks
1995;Dalai Lama;Enseignements essentiels;Essential Teachings by His Holiness the Dalai Lama;Anglais;Zélie Pollon;North Atlantic Books
1997;Patrick Chamoiseau;Chemin d'Ecole;School Days;Anglais;Linda Coverdale;University of Nebraska Press
1997;Patrick Chamoiseau;Chemin d'Ecole;School Days;Anglais;Linda Coverdale;Bison Books
2005;Thierry Paquot;L'Art de la sieste;午睡的藝術;Chinois;黃馨慧 HUANG Hsin Hui;二魚文化
1994;Paol Keineg;Boudica, Taliessen et autres poèmes;Boudica;Anglais;Keith Waldrop;Burning Deck Press
1995;Patrick Chamoiseau;Au temps de l'antan;Creole Folktales;Anglais;Linda Coverdale;The New Press
1997;Patrick Chamoiseau;Au temps de l'antan;Creole Folktales;Anglais;Linda Coverdale;The New Press
2005;Jean Hatzfeld;Dans le nu de la vie;Into the Quick of Life;Anglais;Gerry Feehily;Serpent´s tail
2007;Jean Hatzfeld;Dans le nu de la vie;Life Laid Bare;Anglais;Linda Coverdale;
2008;Brigitte Le Juez;Beckett avant la lettre;Beckett before Beckett;Anglais;Ros Schwartz;Souvenir Press
2007;Brigitte Le Juez;Beckett avant la lettre;Beckett : el infatigable deseo;Espagnol;Ricardo Tejada Mínguez;Arena Libros
2003;;English Translation of Leon-Paul Fargue's Poems;English Translation of Leon-Paul Fargue's Poems;Anglais;Peter S. Thompson;Edwin Mellen Press
2007;Marguerite Abouet;Aya;Aya;Anglais;Helge Dascher;
2007;Andrei Makine;Requiem pour l'Est;Réquiem por el Este;Espagnol;Amelia Ros García;Tusquets
2006;Bernard-Henri Lévy;American Vertigo;American Vertigo;Anglais;Charlotte Mandell;Gibson Square
2007;Bernard-Henri Lévy;American Vertigo;American Vertigo;Anglais;Charlotte Mandell;Random House USA
2006;Bernard-Henri Lévy;American Vertigo;American vertigo;Français;Charlotte Mandell;Random House USA
2005;Luc Besson;Arthur et les Minimoys;Arthur and the Minimoys;Anglais;Ellen Sowchek;HarperCollins Publishers Inc.
2006;Luc Besson;Arthur et les Minimoys;Arthur and the Minimoys;Anglais;Ellen Sowchek;HarperTrophy
2005;Luc Besson;Arthur et les Minimoys;亚瑟和迷你墨王国;Chinois;Xiangyan JIANG;接力出版社
2001;;Adieux au Monde;Memoirs of a Courtesan in Nineteenth-Century Paris;Anglais;Monique Fleury Nagem;University of Nebraska Press
2001;;Adieux au Monde;Memoirs of a Courtesan in Nineteenth-Century Paris;Anglais;Monique Fleury Nagem;Bison Books
1986;Marguerite Duras;L'Amant;悠悠此情;Chinois;Yumin LI;漓江出版社
1997;Marguerite Duras;L'Amant;情人;Chinois;Daoqian(1921— 1993) WANG;上海译文出版社
2006;Marguerite Duras;L'Amant;情人;Chinois;王東亮 WANG Dong Liang;允晨文化
1985;Marguerite Duras;L'Amant;情人;Chinois;Bao YAN;
